Period,LoanId,InterestCollected,ScheduledInterest,ServicerAdvances,PrincipalCollected,ScheduledPrincipal,Prepayment,RealizedLoss,EndBalance,LoanStatus,DQStatus,PoolStatus,Recoveries
1,L0001,159403.33,158362.43,0.00,256360.00,118320.00,138040.00,1183.20,39182456.80,CURRENT,0,PERFORMING,0.00
1,L0002,146667.50,145709.76,0.00,224315.00,103530.00,120785.00,1035.30,34284649.70,CURRENT,0,PERFORMING,0.00
1,L0003,133110.00,132240.79,0.00,192270.00,88740.00,103530.00,887.40,29386842.60,CURRENT,0,PERFORMING,0.00
1,L0004,113883.00,113139.34,0.00,179452.00,82824.00,96628.00,828.24,27427719.76,CURRENT,0,PERFORMING,0.00
1,L0005,127563.75,126730.76,0.00,173043.00,79866.00,93177.00,798.66,26448158.34,CURRENT,0,PERFORMING,0.00
1,L0006,103735.42,103058.02,0.00,160225.00,73950.00,86275.00,739.50,24489035.50,CURRENT,0,PERFORMING,0.00
1,L0007,99216.25,98568.37,0.00,147407.00,68034.00,79373.00,680.34,22529912.66,CURRENT,0,PERFORMING,0.00
1,L0008,76415.00,75916.01,0.00,128180.00,59160.00,69020.00,591.60,19591228.40,CURRENT,0,PERFORMING,0.00
1,L0009,57188.00,56814.56,0.00,76908.00,35496.00,41412.00,354.96,11754737.04,CURRENT,0,PERFORMING,0.00
1,L0010,40261.67,39998.76,0.00,64090.00,29580.00,34510.00,295.80,9795614.20,CURRENT,0,PERFORMING,0.00
