Period,LoanId,InterestCollected,ScheduledInterest,ServicerAdvances,PrincipalCollected,ScheduledPrincipal,Prepayment,RealizedLoss,EndBalance,LoanStatus,DQStatus,PoolStatus,Recoveries
3,L0001,157249.14,156080.78,0.00,287911.83,132283.81,155628.02,1167.21,38617925.09,CURRENT,0,PERFORMING,0.00
3,L0002,144685.42,143610.41,0.00,251922.85,115748.34,136174.51,1021.31,33790684.45,CURRENT,0,PERFORMING,0.00
3,L0003,0.00,131048.52,131048.52,0.00,0.00,0.00,58360.51,29121892.58,DEFAULT,120,PERFORMING,0.00
3,L0004,112343.97,111509.26,0.00,201538.28,92598.67,108939.61,817.05,27032547.56,CURRENT,0,PERFORMING,0.00
3,L0005,63284.91,126424.26,63139.35,22452.38,22452.38,0.00,7924.37,26384192.43,DELINQUENT,60,PERFORMING,0.00
3,L0006,102333.53,101573.19,0.00,179944.89,82677.38,97267.51,729.51,24136203.19,CURRENT,0,PERFORMING,0.00
3,L0007,97875.43,97148.22,0.00,165549.30,76063.19,89486.11,671.15,22205306.92,CURRENT,0,PERFORMING,0.00
3,L0008,75382.32,74822.23,0.00,143955.92,66141.91,77814.01,583.61,19308962.53,CURRENT,0,PERFORMING,0.00
3,L0009,14103.79,56358.18,42254.39,5952.77,5952.77,0.00,5836.05,11660312.42,DELINQUENT,90,PERFORMING,0.00
3,L0010,39717.57,39422.47,0.00,71977.95,33070.95,38907.00,291.80,9654481.28,CURRENT,0,PERFORMING,0.00
