Period,LoanId,InterestCollected,ScheduledInterest,ServicerAdvances,PrincipalCollected,ScheduledPrincipal,Prepayment,RealizedLoss,EndBalance,LoanStatus,DQStatus,PoolStatus,Recoveries
5,L0001,154858.67,153584.18,0.00,314187.48,141767.52,172419.96,1149.47,38000209.78,CURRENT,0,STRESSED,0.00
5,L0002,142485.94,141313.28,0.00,274914.05,124046.58,150867.47,1005.78,33250183.57,CURRENT,0,STRESSED,0.00
5,L0003,0.00,130524.85,130524.85,0.00,0.00,0.00,58127.30,29005521.49,DEFAULT,120,STRESSED,25000.00
5,L0004,110636.14,109725.61,0.00,219931.24,99237.27,120693.97,804.63,26600146.84,CURRENT,0,STRESSED,0.00
5,L0005,126246.00,125206.99,0.00,216045.33,97483.87,118561.46,790.41,26130154.98,CURRENT,0,STRESSED,0.00
5,L0006,100777.87,99948.47,0.00,196367.18,88604.70,107762.48,718.42,23750131.12,CURRENT,0,STRESSED,0.00
5,L0007,96387.55,95594.28,0.00,180657.81,81516.33,99141.48,660.94,21850120.62,CURRENT,0,STRESSED,0.00
5,L0008,74236.37,73625.41,0.00,157093.74,70883.76,86209.98,574.73,19000104.88,CURRENT,0,STRESSED,0.00
5,L0009,0.00,55617.17,55617.17,0.00,0.00,0.00,116232.33,11507000.29,DEFAULT,120,STRESSED,0.00
5,L0010,39113.79,38791.88,0.00,78546.87,35441.88,43104.99,287.37,9500052.46,CURRENT,0,STRESSED,0.00
