Period,LoanId,InterestCollected,ScheduledInterest,ServicerAdvances,PrincipalCollected,ScheduledPrincipal,Prepayment,RealizedLoss,EndBalance,LoanStatus,DQStatus,PoolStatus,Recoveries
7,L0001,152274.11,150929.53,0.00,331549.40,146936.67,184612.73,1130.28,37343388.30,CURRENT,0,STRESSED,0.00
7,L0002,140107.88,138870.73,0.00,290105.72,128569.58,161536.14,989.00,32675464.78,CURRENT,0,STRESSED,0.00
7,L0003,0.00,130003.27,130003.27,0.00,0.00,0.00,57895.02,28889615.43,DEFAULT,120,STRESSED,0.00
7,L0004,108789.65,107829.03,0.00,232084.58,102855.67,129228.91,791.20,26140371.81,CURRENT,0,STRESSED,0.00
7,L0005,124138.98,123042.83,0.00,227983.93,101038.33,126945.60,777.22,25678503.61,CURRENT,0,STRESSED,0.00
7,L0006,99095.91,98220.89,0.00,207218.38,91835.42,115382.96,706.43,23339617.69,CURRENT,0,STRESSED,0.00
7,L0007,94778.86,93941.96,0.00,190640.90,84488.58,106152.32,649.91,21472448.28,CURRENT,0,STRESSED,0.00
7,L0008,72997.38,72352.81,0.00,165774.70,73468.33,92306.37,565.14,18671694.15,CURRENT,0,STRESSED,0.00
7,L0009,0.00,55394.92,55394.92,0.00,0.00,0.00,22967.97,11461018.32,DEFAULT,120,STRESSED,20000.00
7,L0010,38460.99,38121.38,0.00,82887.35,36734.17,46153.18,282.57,9335847.09,CURRENT,0,STRESSED,0.00
