Period,LoanId,InterestCollected,ScheduledInterest,ServicerAdvances,PrincipalCollected,ScheduledPrincipal,Prepayment,RealizedLoss,EndBalance,LoanStatus,DQStatus,PoolStatus,Recoveries
5,F17Q10000051,525.625,525.625,0.0,0.0,0.0,0.0,0.0,174000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10000374,444.0625,444.0625,0.0,0.0,0.0,0.0,0.0,147000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10000394,277.9166666666667,277.9166666666667,0.0,0.0,0.0,0.0,0.0,116000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10000598,400.0,400.0,0.0,0.0,0.0,0.0,0.0,120000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10000925,1320.0,1320.0,0.0,0.0,0.0,0.0,0.0,384000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10000973,483.3333333333333,483.3333333333333,0.0,1000.0,1000.0,0.0,0.0,145000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001050,718.9583333333334,718.9583333333334,0.0,1000.0,1000.0,0.0,0.0,203000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001064,125.9375,125.9375,0.0,0.0,0.0,0.0,0.0,39000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001138,697.8125,697.8125,0.0,0.0,0.0,0.0,0.0,203000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001158,762.0833333333334,762.0833333333334,0.0,1000.0,1000.0,0.0,0.0,236000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001196,492.1875,492.1875,0.0,0.0,0.0,0.0,0.0,135000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001335,385.0,385.0,0.0,0.0,0.0,0.0,0.0,112000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001467,440.625,440.625,0.0,1000.0,1000.0,0.0,0.0,141000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001590,1110.3125,1110.3125,0.0,1000.0,1000.0,0.0,0.0,323000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001653,716.6666666666666,716.6666666666666,0.0,0.0,0.0,0.0,0.0,215000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001718,1309.6875,1309.6875,0.0,0.0,0.0,0.0,0.0,381000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10001862,1093.125,1093.125,0.0,0.0,0.0,0.0,0.0,318000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10002163,1012.9166666666666,1012.9166666666666,0.0,0.0,0.0,0.0,0.0,286000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10002995,372.6666666666667,372.6666666666667,0.0,0.0,0.0,0.0,0.0,104000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10003349,586.9791666666666,586.9791666666666,0.0,0.0,0.0,0.0,0.0,161000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10004632,1087.5,1087.5,0.0,2000.0,2000.0,0.0,0.0,348000.0,CURRENT,0,PERFORMING,0.0
5,F17Q10005435,938.4375,938.4375,0.0,1000.0,1000.0,0.0,0.0,231000.0,CURRENT,0,PERFORMING,0.0
